dataset,track_id,segment_id,split,start_s,end_s,duration_s,x_rms,x_peak,y_rms,y_peak,intent_mse,intent_cosine_sim,has_y_hat,y_hat_path,y_hat_rms,y_hat_peak,y_hat_snr,intent_error,renderer_quality_error,y_is_silent,renderer_target_all_zero,has_situation,situation_path,situation_shape,situation_is_finite,situation_min,situation_max,situation_mean,situation_std,has_intent_targets,intent_targets_path,intent_targets_shape,intent_targets_is_finite,intent_targets_min,intent_targets_max,intent_targets_mean,intent_targets_std,has_intent_pred,intent_pred_path,intent_pred_shape,intent_pred_is_finite,intent_pred_min,intent_pred_max,intent_pred_mean,intent_pred_std,has_renderer_target,renderer_target_path,renderer_target_shape,renderer_target_is_finite,renderer_target_min,renderer_target_max,renderer_target_mean,renderer_target_std,has_renderer_tokens,renderer_tokens_path,renderer_tokens_shape,renderer_tokens_is_finite,renderer_tokens_min,renderer_tokens_max,renderer_tokens_mean,renderer_tokens_std,token_min_id,token_max_id,expected_intent_frames,actual_intent_frames,alignment_ok,notes
slakh,Track00014,Track00014_2646000,train,60.0,66.0,6.0,0.07015131471180722,0.7697242498397827,0.08991520141547518,0.5692219138145447,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00013,Track00013_4895100,train,111.0,117.0,6.0,0.05347355444578742,0.31672346591949463,0.055901982797454154,0.3422965705394745,,,0,,,,,,,0,0,1,segments/slakh/Track00013/Track00013_4895100/situation.npy,"(32,)",True,-0.9727586507797241,2.0129032135009766,0.4064629077911377,0.5581725239753723,1,segments/slakh/Track00013/Track00013_4895100/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.2969793677330017,0.2764827013015747,0,,,,,,,,1,segments/slakh/Track00013/Track00013_4895100/renderer_target.npy,"(599, 882)",True,-0.323198139667511,0.3422965705394745,-9.157454769592732e-05,0.0559302382171154,0,,,,,,,,,,60,60,1,
slakh,Track00004,Track00004_1587600,train,36.0,42.0,6.0,0.0736888091710439,0.47034844756126404,0.06251887016772181,0.3759329319000244,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00007,Track00007_1719900,train,39.0,45.0,6.0,0.07515837952453842,0.5917568802833557,0.06808079837206776,0.4189556837081909,,,0,,,,,,,0,0,1,segments/slakh/Track00007/Track00007_1719900/situation.npy,"(32,)",True,-0.7998392581939697,1.488084077835083,0.31676608324050903,0.4471689760684967,1,segments/slakh/Track00007/Track00007_1719900/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.3031749129295349,0.25348585844039917,0,,,,,,,,1,segments/slakh/Track00007/Track00007_1719900/renderer_target.npy,"(599, 882)",True,-0.325951486825943,0.4189556837081909,-0.00014414804172702134,0.06808485835790634,0,,,,,,,,,,60,60,1,
slakh,Track00008,Track00008_6350400,train,144.0,150.0,6.0,0.06373707805338817,0.5431673526763916,0.08489146205911516,0.36266905069351196,,,0,,,,,,,0,0,1,segments/slakh/Track00008/Track00008_6350400/situation.npy,"(32,)",True,-0.7924768328666687,1.1216890811920166,0.3208608031272888,0.42202213406562805,1,segments/slakh/Track00008/Track00008_6350400/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.3157079815864563,0.2400251030921936,0,,,,,,,,1,segments/slakh/Track00008/Track00008_6350400/renderer_target.npy,"(599, 882)",True,-0.36266905069351196,0.34466907382011414,0.00017914778436534107,0.08487153053283691,0,,,,,,,,,,60,60,1,
slakh,Track00018,Track00018_5821200,val,132.0,138.0,6.0,0.051105080466148166,0.3128037452697754,0.08903339018636375,0.563356339931488,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00019,Track00019_6482700,train,147.0,153.0,6.0,0.0906664254289444,0.49770599603652954,0.06895271588608959,0.3293994665145874,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00010,Track00010_2646000,train,60.0,66.0,6.0,0.07077675230856514,0.6000328063964844,0.08787018042392904,0.5700546503067017,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00004,Track00004_661500,train,15.0,21.0,6.0,0.06661528209498269,0.430561900138855,0.045693552741041546,0.3027145564556122,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00013,Track00013_1058400,train,24.0,30.0,6.0,0.07382551861458943,0.4452061355113983,0.029130613374251775,0.2510238587856293,,,0,,,,,,,0,0,1,segments/slakh/Track00013/Track00013_1058400/situation.npy,"(32,)",True,-0.9727586507797241,1.1779801845550537,0.37076255679130554,0.424959659576416,1,segments/slakh/Track00013/Track00013_1058400/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.23883089423179626,0.32155320048332214,0,,,,,,,,1,segments/slakh/Track00013/Track00013_1058400/renderer_target.npy,"(599, 882)",True,-0.2510238587856293,0.234416201710701,-9.717365901451558e-05,0.029153889045119286,0,,,,,,,,,,60,60,1,
