dataset,track_id,segment_id,split,start_s,end_s,duration_s,x_audio_path,y_audio_path,has_situation,situation_path,situation_shape,situation_is_finite,situation_min,situation_max,situation_mean,situation_std,has_intent_targets,intent_targets_path,intent_targets_shape,intent_targets_is_finite,intent_targets_min,intent_targets_max,intent_targets_mean,intent_targets_std,has_intent_pred,intent_pred_path,intent_pred_shape,intent_pred_is_finite,intent_pred_min,intent_pred_max,intent_pred_mean,intent_pred_std,has_renderer_target,renderer_target_path,renderer_target_shape,renderer_target_is_finite,renderer_target_min,renderer_target_max,renderer_target_mean,renderer_target_std,has_renderer_tokens,renderer_tokens_path,renderer_tokens_shape,renderer_tokens_is_finite,renderer_tokens_min,renderer_tokens_max,renderer_tokens_mean,renderer_tokens_std,token_min_id,token_max_id,y_hat_path,has_y_hat,expected_intent_frames,actual_intent_frames,renderer_target_all_zero,alignment_ok,notes
slakh,Track00014,Track00014_2646000,UNKNOWN,60.0,66.0,6.0,segments/slakh/Track00014/Track00014_2646000/x.wav,segments/slakh/Track00014/Track00014_2646000/y.wav,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,0,60,0,0,1,Missing situation
slakh,Track00013,Track00013_4895100,UNKNOWN,111.0,117.0,6.0,segments/slakh/Track00013/Track00013_4895100/x.wav,segments/slakh/Track00013/Track00013_4895100/y.wav,1,segments/slakh/Track00013/Track00013_4895100/situation.npy,"(32,)",True,-0.9727586507797241,2.0129032135009766,0.4064629077911377,0.5581725239753723,1,segments/slakh/Track00013/Track00013_4895100/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.2969793677330017,0.2764827013015747,0,,,,,,,,1,segments/slakh/Track00013/Track00013_4895100/renderer_target.npy,"(599, 882)",True,-0.323198139667511,0.3422965705394745,-9.157454769592732e-05,0.0559302382171154,0,,,,,,,,,,,0,60,60,0,1,
slakh,Track00004,Track00004_1587600,UNKNOWN,36.0,42.0,6.0,segments/slakh/Track00004/Track00004_1587600/x.wav,segments/slakh/Track00004/Track00004_1587600/y.wav,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,0,60,0,0,1,Missing situation
slakh,Track00007,Track00007_1719900,UNKNOWN,39.0,45.0,6.0,segments/slakh/Track00007/Track00007_1719900/x.wav,segments/slakh/Track00007/Track00007_1719900/y.wav,1,segments/slakh/Track00007/Track00007_1719900/situation.npy,"(32,)",True,-0.7998392581939697,1.488084077835083,0.31676608324050903,0.4471689760684967,1,segments/slakh/Track00007/Track00007_1719900/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.3031749129295349,0.25348585844039917,0,,,,,,,,1,segments/slakh/Track00007/Track00007_1719900/renderer_target.npy,"(599, 882)",True,-0.325951486825943,0.4189556837081909,-0.00014414804172702134,0.06808485835790634,0,,,,,,,,,,,0,60,60,0,1,
slakh,Track00008,Track00008_6350400,UNKNOWN,144.0,150.0,6.0,segments/slakh/Track00008/Track00008_6350400/x.wav,segments/slakh/Track00008/Track00008_6350400/y.wav,1,segments/slakh/Track00008/Track00008_6350400/situation.npy,"(32,)",True,-0.7924768328666687,1.1216890811920166,0.3208608031272888,0.42202213406562805,1,segments/slakh/Track00008/Track00008_6350400/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.3157079815864563,0.2400251030921936,0,,,,,,,,1,segments/slakh/Track00008/Track00008_6350400/renderer_target.npy,"(599, 882)",True,-0.36266905069351196,0.34466907382011414,0.00017914778436534107,0.08487153053283691,0,,,,,,,,,,,0,60,60,0,1,
slakh,Track00018,Track00018_5821200,UNKNOWN,132.0,138.0,6.0,segments/slakh/Track00018/Track00018_5821200/x.wav,segments/slakh/Track00018/Track00018_5821200/y.wav,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,0,60,0,0,1,Missing situation
slakh,Track00019,Track00019_6482700,UNKNOWN,147.0,153.0,6.0,segments/slakh/Track00019/Track00019_6482700/x.wav,segments/slakh/Track00019/Track00019_6482700/y.wav,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,0,60,0,0,1,Missing situation
slakh,Track00010,Track00010_2646000,UNKNOWN,60.0,66.0,6.0,segments/slakh/Track00010/Track00010_2646000/x.wav,segments/slakh/Track00010/Track00010_2646000/y.wav,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,0,60,0,0,1,Missing situation
slakh,Track00004,Track00004_661500,UNKNOWN,15.0,21.0,6.0,segments/slakh/Track00004/Track00004_661500/x.wav,segments/slakh/Track00004/Track00004_661500/y.wav,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,0,60,0,0,1,Missing situation
slakh,Track00013,Track00013_1058400,UNKNOWN,24.0,30.0,6.0,segments/slakh/Track00013/Track00013_1058400/x.wav,segments/slakh/Track00013/Track00013_1058400/y.wav,1,segments/slakh/Track00013/Track00013_1058400/situation.npy,"(32,)",True,-0.9727586507797241,1.1779801845550537,0.37076255679130554,0.424959659576416,1,segments/slakh/Track00013/Track00013_1058400/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.23883089423179626,0.32155320048332214,0,,,,,,,,1,segments/slakh/Track00013/Track00013_1058400/renderer_target.npy,"(599, 882)",True,-0.2510238587856293,0.234416201710701,-9.717365901451558e-05,0.029153889045119286,0,,,,,,,,,,,0,60,60,0,1,
slakh,Track00007,Track00007_1852200,UNKNOWN,42.0,48.0,6.0,segments/slakh/Track00007/Track00007_1852200/x.wav,segments/slakh/Track00007/Track00007_1852200/y.wav,1,segments/slakh/Track00007/Track00007_1852200/situation.npy,"(32,)",True,-0.7998392581939697,1.345947504043579,0.3131471276283264,0.421390563249588,1,segments/slakh/Track00007/Track00007_1852200/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.2911885380744934,0.25990039110183716,0,,,,,,,,1,segments/slakh/Track00007/Track00007_1852200/renderer_target.npy,"(599, 882)",True,-0.30545663833618164,0.4189556837081909,-0.00010685814777389169,0.06745589524507523,0,,,,,,,,,,,0,60,60,0,1,
slakh,Track00018,Track00018_1719900,UNKNOWN,39.0,45.0,6.0,segments/slakh/Track00018/Track00018_1719900/x.wav,segments/slakh/Track00018/Track00018_1719900/y.wav,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,0,60,0,0,1,Missing situation
slakh,Track00001,Track00001_4233600,UNKNOWN,96.0,102.0,6.0,segments/slakh/Track00001/Track00001_4233600/x.wav,segments/slakh/Track00001/Track00001_4233600/y.wav,1,segments/slakh/Track00001/Track00001_4233600/situation.npy,"(32,)",True,0.0,0.9921147227287292,0.3869243562221527,0.31526774168014526,1,segments/slakh/Track00001/Track00001_4233600/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.25019437074661255,0.23159578442573547,0,,,,,,,,1,segments/slakh/Track00001/Track00001_4233600/renderer_target.npy,"(599, 882)",True,-0.23011189699172974,0.25101515650749207,-6.017988198436797e-05,0.056176383048295975,0,,,,,,,,,,,0,60,60,0,1,
